Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],BODC Station,Operator's Cruise Name,Cruise Report,Project Name,Ship Name,Period,Chief Scientist,GEOTRACES Scientist,PRESSURE [dbar],QV:IODE,DEPTH [m],QV:IODE,CTDTMP [deg C],QV:IODE,CTDSAL,QV:IODE,SALINITY_D_CONC_BOTTLE,QV:IODE,SALINITY_D_CONC_PUMP,QV:IODE,SALINITY_D_CONC_FISH,QV:IODE,SALINITY_D_CONC_UWAY,QV:IODE,NITRATE_D_CONC_BOTTLE [umol/kg],STANDARD_DEV,QV:IODE,NITRATE_D_CONC_PUMP [umol/kg],QV:IODE,NITRATE_D_CONC_FISH [umol/kg],QV:IODE,NITRATE_D_CONC_UWAY [umol/kg],QV:IODE,NITRATE_LL_D_CONC_BOTTLE [umol/kg],QV:IODE,NITRATE_LL_D_CONC_FISH [umol/kg],QV:IODE,NO2+NO3_D_CONC_BOTTLE [umol/kg],QV:IODE,NO2+NO3_D_CONC_FISH [umol/kg],QV:IODE,Fe_D_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_D_CONC_FISH [nmol/kg],STANDARD_DEV,QV:IODE,Fe_II_D_CONC_BOTTLE [nmol/kg],QV:IODE,Fe_II_D_CONC_FISH [nmol/kg],QV:IODE,Fe_S_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_S_CONC_FISH [nmol/kg],STANDARD_DEV,QV:IODE,QV:ODV:SAMPLE
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,41.3,2,41,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,0.253659,,1,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,41.3,2,41,2,22.344,1,34.705002,1,34.713001,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,0.341463,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,50.4,2,50,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,0.331707,,1,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,50.4,2,50,2,21.596,1,34.752998,1,34.758999,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,1.853659,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,99.8,2,99,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,0.481854,,1,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,99.8,2,99,2,18.633,1,34.737999,1,34.734001,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,4.995122,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,150.2,2,149,2,16.463,1,34.659,1,34.646,1,,9,,9,,9,,,9,,9,,9,,9,,9,,9,7.346342,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,150.2,2,149,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,0.496585,,1,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,200.6,2,199,2,13.836,1,34.5,1,34.763,3,,9,,9,,9,,,9,,9,,9,,9,,9,,9,1.95122,1,,9,,,9,,,9,,9,,9,,,9,,,9,1
GP02,BD04,B,2012-08-24T22:45:50,143.882,37.814,7018,1875940,KH12-4,HakuhoMaru_KH12-4.pdf,BIG DIPPER Expedition,R/V Hakuho Maru,Aug - Oct 2012,Toshitaka Gamo,Toshitaka Gamo,200.6,2,199,2,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,9,,9,0.526244,,1,,,9,,9,,9,,,9,,,9,1
