Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],BODC Station,Operator's Cruise Name,Cruise Report,Project Name,Ship Name,Period,Chief Scientist,GEOTRACES Scientist,PRESSURE [dbar],QV:IODE,DEPTH [m],QV:IODE,CTDTMP [deg C],QV:IODE,CTDSAL,QV:IODE,SALINITY_D_CONC_BOTTLE,QV:IODE,SALINITY_D_CONC_PUMP,QV:IODE,SALINITY_D_CONC_FISH,QV:IODE,SALINITY_D_CONC_UWAY,QV:IODE,PHOSPHATE_D_CONC_BOTTLE [umol/kg],QV:IODE,PHOSPHATE_D_CONC_PUMP [umol/kg],QV:IODE,PHOSPHATE_D_CONC_FISH [umol/kg],QV:IODE,PHOSPHATE_D_CONC_UWAY [umol/kg],QV:IODE,SILICATE_D_CONC_BOTTLE [umol/kg],STANDARD_DEV,QV:IODE,SILICATE_D_CONC_PUMP [umol/kg],QV:IODE,SILICATE_D_CONC_FISH [umol/kg],QV:IODE,SILICATE_D_CONC_UWAY [umol/kg],QV:IODE,NITRATE_D_CONC_BOTTLE [umol/kg],STANDARD_DEV,QV:IODE,NITRATE_D_CONC_PUMP [umol/kg],QV:IODE,NITRATE_D_CONC_FISH [umol/kg],QV:IODE,NITRATE_D_CONC_UWAY [umol/kg],QV:IODE,NO2+NO3_D_CONC_BOTTLE [umol/kg],QV:IODE,NO2+NO3_D_CONC_FISH [umol/kg],QV:IODE,Fe_D_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_D_CONC_FISH [nmol/kg],QV:IODE,Fe_II_D_CONC_BOTTLE [nmol/kg],QV:IODE,Fe_II_D_CONC_FISH [nmol/kg],QV:IODE,Fe_S_CONC_BOTTLE [nmol/kg],STANDARD_DEV,QV:IODE,Fe_S_CONC_FISH [nmol/kg],QV:IODE,QV:ODV:SAMPLE
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,1857.8,2,1836.4,2,2.952,1,34.827,1,34.827,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,0,B,2008-02-13T18:19:59,17.226,-33.978,1840,1642840,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,1858.2,2,1836.8,2,2.951,1,34.827999,1,34.827,1,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,1,B,2008-02-13T23:46:59,17.956,-33.939,185,1642847,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,2,2,2,2,14.4,1,34.903999,1,34.912998,3,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,1,B,2008-02-13T23:46:59,17.956,-33.939,185,1642847,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,2.5,2,2.5,2,14.406,1,34.903,1,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,1,B,2008-02-13T23:46:59,17.956,-33.939,185,1642847,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,24.4,2,24.2,2,12.476,1,35.041,1,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,1,B,2008-02-13T23:46:59,17.956,-33.939,185,1642847,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,24.4,2,24.2,2,12.47,1,35.041,1,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,1,B,2008-02-13T23:46:59,17.956,-33.939,185,1642847,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,49.8,2,49.4,2,11.585,1,34.964001,1,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,1,B,2008-02-13T23:46:59,17.956,-33.939,185,1642847,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,50.6,2,50.2,2,11.181,1,34.907001,1,34.916,3,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,1,B,2008-02-13T23:46:59,17.956,-33.939,185,1642847,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,75.6,2,75,2,10.769,1,34.912998,1,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
GIPY04,1,B,2008-02-13T23:46:59,17.956,-33.939,185,1642847,MD166,MarionDufresne_166.pdf,Bonus Good Hope,R/V Marion Dufresne,Feb - Mar 2008,Sabrina Speich,Marie Boye,75.8,2,75.2,2,10.724,1,34.907001,1,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,,9,,9,,9,,9,,,9,,9,,9,,9,,,9,,9,1
